customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
12346,346,12,77556.46,1,3,3,At Risk
12347,23,8,5633.32,3,2,3,Loyal Customers
12348,96,5,2019.4,1,2,3,At Risk
12349,39,4,4428.69,2,2,3,Loyal Customers
12350,331,1,334.4,1,1,2,Lost/Others
12351,396,1,300.93,1,1,2,Lost/Others
12352,57,10,2849.84,2,3,3,Loyal Customers
12353,225,2,406.76,1,1,2,Lost/Others
12354,253,1,1079.4,1,1,3,Lost/Others
12355,235,2,947.61,1,1,2,Lost/Others
12356,43,6,6373.68,2,2,3,Loyal Customers
12357,54,3,18287.66,2,1,3,Lost/Others
12358,22,5,3887.07,3,2,3,Loyal Customers
12359,78,10,8935.94,2,3,3,Loyal Customers
12360,73,8,4252.89,2,2,3,Loyal Customers
12361,308,4,511.25,1,2,2,At Risk
12362,24,11,5356.23,3,3,3,Champions
12363,130,2,552.0,1,1,2,Lost/Others
12364,28,4,1313.1,3,2,3,Loyal Customers
12365,312,2,641.38,1,1,2,Lost/Others
12366,654,1,500.24,1,1,2,Lost/Others
12367,25,1,168.9,3,1,1,New Customers
12368,649,1,917.7,1,1,2,Lost/Others
12369,434,3,1791.15,1,1,3,Lost/Others
12370,72,7,4320.31,2,2,3,Loyal Customers
12371,65,5,4067.38,2,2,3,Loyal Customers
12372,92,3,1298.04,1,1,3,Lost/Others
12373,332,3,1127.65,1,1,3,Lost/Others
12374,46,4,2989.22,2,2,3,Loyal Customers
12375,31,2,457.5,2,1,2,Lost/Others
12376,410,2,503.15,1,1,2,Lost/Others
12377,336,4,3426.32,1,2,3,At Risk
12378,150,2,5416.32,1,1,3,Lost/Others
12379,102,4,1620.22,1,2,3,At Risk
12380,42,11,9676.3,2,3,3,Loyal Customers
12381,25,5,1845.31,3,2,3,Loyal Customers
12383,205,5,1850.56,1,2,3,At Risk
12384,49,2,585.27,2,1,2,Lost/Others
12385,400,1,1938.4,1,1,3,Lost/Others
12386,358,2,660.8,1,1,2,Lost/Others
12387,436,1,143.94,1,1,1,Lost/Others
12388,36,8,3901.11,2,2,3,Loyal Customers
12389,423,3,1433.33,1,1,3,Lost/Others
12390,100,1,549.84,1,1,2,Lost/Others
12391,42,6,2773.42,2,2,3,Loyal Customers
12392,612,1,234.75,1,1,1,Lost/Others
12393,93,6,2399.45,1,2,3,At Risk
12394,84,2,1272.48,2,1,3,Lost/Others
12395,40,15,5067.27,2,3,3,Loyal Customers
12396,695,1,931.43,1,1,2,Lost/Others
12397,56,2,2409.9,2,1,3,Lost/Others
12398,66,1,1635.66,2,1,3,Lost/Others
12399,140,7,1962.3,1,2,3,At Risk
12400,435,1,205.25,1,1,1,Lost/Others
12401,324,1,84.3,1,1,1,Lost/Others
12402,344,6,1256.9,1,2,3,At Risk
12403,70,2,1019.36,2,1,3,Lost/Others
12404,703,1,63.24,1,1,1,Lost/Others
12405,169,1,1710.39,1,1,3,Lost/Others
12406,43,5,6390.36,2,2,3,Loyal Customers
12407,70,5,1708.12,2,2,3,Loyal Customers
12408,53,8,4340.77,2,2,3,Loyal Customers
12409,99,7,23419.29,1,2,3,At Risk
12410,329,3,1013.71,1,1,3,Lost/Others
12411,430,1,346.9,1,1,2,Lost/Others
12412,95,6,2596.93,1,2,3,At Risk
12413,87,4,999.45,2,2,2,Loyal Customers
12414,238,6,952.41,1,2,2,At Risk
12415,45,28,144458.37,2,3,3,Loyal Customers
12416,677,1,202.56,1,1,1,Lost/Others
12417,24,20,6816.91,3,3,3,Champions
12418,133,4,2021.2,1,2,3,At Risk
12419,406,2,503.01,1,1,2,Lost/Others
12420,84,1,600.39,2,1,2,Lost/Others
12421,36,6,1098.6,2,2,3,Loyal Customers
12422,116,17,5231.8,1,3,3,At Risk
12423,21,10,2622.39,3,3,3,Champions
12424,183,4,3340.03,1,2,3,At Risk
12425,99,2,1741.41,1,1,3,Lost/Others
12426,215,2,1345.21,1,1,3,Lost/Others
12427,42,3,1129.3,2,1,3,Lost/Others
12428,46,9,7956.46,2,2,3,Loyal Customers
12429,30,8,7485.91,3,2,3,Loyal Customers
12430,64,1,256.4,2,1,1,Lost/Others
12431,56,27,10857.97,2,3,3,Loyal Customers
12432,63,5,5059.32,2,2,3,Loyal Customers
12433,21,10,20581.26,3,3,3,Champions
12434,105,3,1103.43,1,1,3,Lost/Others
12435,100,6,13925.93,1,2,3,At Risk
12436,120,1,509.01,1,1,2,Lost/Others
12437,22,39,12683.4,3,3,3,Champions
12438,35,2,2906.85,2,1,3,Lost/Others
12439,703,2,1158.18,1,1,3,Lost/Others
12440,483,2,859.2,1,1,2,Lost/Others
12441,387,1,347.1,1,1,2,Lost/Others
12442,24,1,172.06,3,1,1,New Customers
12443,753,1,485.31,1,1,2,Lost/Others
12444,42,5,5005.46,2,2,3,Loyal Customers
12445,43,2,434.98,2,1,2,Lost/Others
12446,78,1,1002.31,2,1,3,Lost/Others
12447,264,1,476.49,1,1,2,Lost/Others
12448,65,1,449.45,2,1,2,Lost/Others
12449,43,6,4835.89,2,2,3,Loyal Customers
12450,177,5,688.2,1,2,2,At Risk
12451,31,8,12669.88,2,2,3,Loyal Customers
12452,37,2,430.57,2,1,2,Lost/Others
12453,155,1,707.09,1,1,2,Lost/Others
12454,77,5,16679.78,2,2,3,Loyal Customers
12455,94,10,5879.95,1,3,3,At Risk
12456,65,3,3181.04,2,1,3,Lost/Others
12457,87,8,2995.91,2,2,3,Loyal Customers
12458,92,4,1777.49,1,2,3,At Risk
12459,626,1,454.36,1,1,2,Lost/Others
12460,477,1,326.65,1,1,2,Lost/Others
12461,115,2,826.88,1,1,2,Lost/Others
12462,39,2,1189.59,2,1,3,Lost/Others
12463,74,4,1344.78,2,2,3,Loyal Customers
12464,31,8,1212.05,2,2,3,Loyal Customers
12465,38,2,742.19,2,1,2,Lost/Others
12466,703,1,56.73,1,1,1,Lost/Others
12467,444,1,132.8,1,1,1,Lost/Others
12468,208,5,3670.74,1,2,3,At Risk
12469,543,2,3070.54,1,1,3,Lost/Others
12470,710,1,211.95,1,1,1,Lost/Others
12471,23,79,39963.79,3,3,3,Champions
12472,53,19,17880.59,2,3,3,Loyal Customers
12473,50,5,3938.55,2,2,3,Loyal Customers
12474,38,31,12424.45,2,3,3,Loyal Customers
12475,74,2,1149.64,2,1,3,Lost/Others
12476,36,23,14115.41,2,3,3,Loyal Customers
12477,43,9,20276.37,2,2,3,Loyal Customers
12478,24,1,680.99,3,1,2,New Customers
12479,32,1,527.2,2,1,2,Lost/Others
12480,49,7,5464.85,2,2,3,Loyal Customers
12481,43,15,12361.39,2,3,3,Loyal Customers
12482,597,29,23691.4,1,3,3,At Risk
12483,38,19,5120.58,2,3,3,Loyal Customers
12484,53,12,6370.15,2,3,3,Loyal Customers
12485,550,1,708.1,1,1,2,Lost/Others
12486,452,1,1037.28,1,1,3,Lost/Others
12487,751,1,285.3,1,1,1,Lost/Others
12488,30,3,1298.66,3,1,3,New Customers
12489,357,1,334.93,1,1,2,Lost/Others
12490,26,21,9823.64,3,3,3,Champions
12491,59,1,460.4,2,1,2,Lost/Others
12492,84,3,715.21,2,1,2,Lost/Others
12493,186,2,433.74,1,1,2,Lost/Others
12494,36,9,1872.87,2,2,3,Loyal Customers
12495,661,1,357.4,1,1,2,Lost/Others
12496,641,2,54.09,1,1,1,Lost/Others
12497,102,3,6248.5,1,1,3,Lost/Others
12498,42,3,403.7,2,1,2,Lost/Others
12499,581,1,393.72,1,1,2,Lost/Others
12500,44,19,5955.21,2,3,3,Loyal Customers
12501,357,1,2169.39,1,1,3,Lost/Others
12502,116,5,3723.87,1,2,3,At Risk
12503,605,1,1126.0,1,1,3,Lost/Others
12504,39,4,779.05,2,2,2,Loyal Customers
12505,429,1,955.2,1,1,2,Lost/Others
12506,253,1,73.5,1,1,1,Lost/Others
12507,155,4,1844.06,1,2,3,At Risk
12508,47,2,398.27,2,1,2,Lost/Others
12509,305,1,176.5,1,1,1,Lost/Others
12510,163,9,5178.02,1,2,3,At Risk
12511,449,1,3084.02,1,1,3,Lost/Others
12512,87,2,138.03,2,1,1,Lost/Others
12513,133,1,612.29,1,1,2,Lost/Others
12514,288,2,1597.76,1,1,3,Lost/Others
12515,374,1,383.7,1,1,2,Lost/Others
12516,98,4,2648.62,1,2,3,At Risk
12517,49,5,2502.84,2,2,3,Loyal Customers
12518,21,5,2056.89,3,2,3,Loyal Customers
12519,84,2,726.54,2,1,2,Lost/Others
12520,100,5,2634.26,1,2,3,At Risk
12521,163,1,599.68,1,1,2,Lost/Others
12522,60,2,192.72,2,1,1,Lost/Others
12523,40,23,4372.15,2,3,3,Loyal Customers
12524,30,17,11126.11,3,3,3,Champions
12525,519,3,973.73,1,1,2,Lost/Others
12526,21,3,1316.66,3,1,3,New Customers
12527,102,5,735.51,1,2,2,At Risk
12528,30,6,1933.48,3,2,3,Loyal Customers
12529,549,1,316.48,1,1,2,Lost/Others
12530,80,9,3759.26,2,2,3,Loyal Customers
12531,35,2,1933.2,2,1,3,Lost/Others
12532,51,1,349.83,2,1,2,Lost/Others
12533,648,2,1367.89,1,1,3,Lost/Others
12534,151,1,1089.18,1,1,3,Lost/Others
12535,112,2,716.35,1,1,2,Lost/Others
12536,64,3,12601.83,2,1,3,Lost/Others
12537,429,1,732.94,1,1,2,Lost/Others
12538,50,2,640.45,2,1,2,Lost/Others
12539,43,7,11214.75,2,2,3,Loyal Customers
12540,40,33,22254.49,2,3,3,Loyal Customers
12541,50,3,981.18,2,1,2,Lost/Others
12542,505,2,481.88,1,1,2,Lost/Others
12543,469,1,980.25,1,1,2,Lost/Others
12544,57,1,372.7,2,1,2,Lost/Others
12545,96,2,1000.39,1,1,3,Lost/Others
12546,67,2,1161.5,2,1,3,Lost/Others
12547,218,3,383.58,1,1,2,Lost/Others
12548,187,1,95.2,1,1,1,Lost/Others
12549,596,6,1575.68,1,2,3,At Risk
12550,100,1,964.83,1,1,2,Lost/Others
12551,378,1,168.0,1,1,1,Lost/Others
12552,59,2,437.82,2,1,2,Lost/Others
12553,29,12,4608.75,3,3,3,Champions
12554,469,1,468.5,1,1,2,Lost/Others
12555,703,1,129.23,1,1,1,Lost/Others
12556,71,2,603.71,2,1,2,Lost/Others
12557,37,8,18716.14,2,2,3,Loyal Customers
12558,28,1,269.96,3,1,1,New Customers
12559,331,2,561.71,1,1,2,Lost/Others
12560,26,3,2134.01,3,1,3,New Customers
12561,323,1,238.85,1,1,1,Lost/Others
12562,29,9,4966.92,3,2,3,Loyal Customers
12563,429,1,249.24,1,1,1,Lost/Others
12564,282,1,456.9,1,1,2,Lost/Others
12565,309,1,145.92,1,1,1,Lost/Others
12566,107,1,351.65,1,1,2,Lost/Others
12567,43,15,13709.86,2,3,3,Loyal Customers
12568,665,1,70.0,1,1,1,Lost/Others
12569,23,32,4124.69,3,3,3,Champions
12570,703,1,77.52,1,1,1,Lost/Others
12571,60,2,519.61,2,1,2,Lost/Others
12572,29,2,1020.42,3,1,3,New Customers
12573,248,5,717.41,1,2,2,At Risk
12574,336,1,218.45,1,1,1,Lost/Others
12575,478,2,622.82,1,1,2,Lost/Others
12576,56,8,2142.72,2,2,3,Loyal Customers
12577,56,8,1653.75,2,2,3,Loyal Customers
12578,42,4,4642.45,2,2,3,Loyal Customers
12579,99,1,440.42,1,1,2,Lost/Others
12580,267,2,1052.9,1,1,3,Lost/Others
12581,60,1,197.71,2,1,1,Lost/Others
12582,259,4,1980.4,1,2,3,At Risk
12583,23,27,14447.44,3,3,3,Champions
12584,24,9,2338.15,3,2,3,Loyal Customers
12585,255,2,2040.1,1,1,3,Lost/Others
12586,38,4,2062.67,2,2,3,Loyal Customers
12587,28,1,144.0,3,1,1,New Customers
12588,60,4,958.78,2,2,2,Loyal Customers
12589,49,8,4695.66,2,2,3,Loyal Customers
12590,232,2,9864.26,1,1,3,Lost/Others
12591,338,3,1352.15,1,1,3,Lost/Others
12592,113,5,2582.66,1,2,3,At Risk
12593,129,3,418.1,1,1,2,Lost/Others
12594,58,15,5090.11,2,3,3,Loyal Customers
12595,525,1,299.02,1,1,1,Lost/Others
12596,72,2,618.27,2,1,2,Lost/Others
12597,40,4,3811.22,2,2,3,Loyal Customers
12598,30,11,4534.09,3,3,3,Champions
12599,50,13,2296.72,2,3,3,Loyal Customers
12600,49,21,5043.92,2,3,3,Loyal Customers
12601,210,6,681.26,1,2,2,At Risk
12602,79,1,153.12,2,1,1,Lost/Others
12603,42,1,739.2,2,1,2,Lost/Others
12604,100,2,254.18,1,1,1,Lost/Others
12605,397,4,1232.95,1,2,3,At Risk
12606,703,1,21.0,1,1,1,Lost/Others
12607,81,1,1579.51,2,1,3,Lost/Others
